Comparing 18_45_thrdscan.txt and 18_50_thrdscan.txt:

There are 758 changes in the threads.
There are 173 New Threads.
There are 258 Terminated Threads.
There are 264 distinct TIDs that have changed.
Key change counts:
  Offset: 230
  PID: 226
  CreateTime: 230
  ExitTime: 42
  StartAddress: 30

(196, 'Changed Offset', '0xa0851a86d080', '0xa08517eb2080')
(196, 'Changed PID', 3956, 7520)
(196, 'Changed CreateTime', '2024-06-11 16:46:40.000000 ', '2024-06-11 16:54:09.000000 ')
(396, 'Changed Offset', '0xa0851550f080', '0xa0851a461080')
(396, 'Changed PID', 7876, 3200)
(396, 'Changed CreateTime', '2024-06-11 16:46:39.000000 ', '2024-06-11 16:53:26.000000 ')
(404, 'Changed Offset', '0xa0851b6af080', '0xa0851abd6080')
(404, 'Changed PID', 8108, 6820)
(404, 'Changed CreateTime', '2024-06-11 16:45:18.000000 ', '2024-06-11 16:49:45.000000 ')
(428, 'Changed Offset', '0xa08516e64080', '0xa0851a6e7080')
(428, 'Changed PID', 940, 6456)
(428, 'Changed CreateTime', '2024-06-11 16:49:35.000000 ', '2024-06-11 16:52:41.000000 ')
(456, 'Changed Offset', '0xa0851ae9b040', '0xa08516eb7080')
(456, 'Changed PID', 556, 7536)
(456, 'Changed CreateTime', '2024-06-11 16:48:58.000000 ', '2024-06-11 16:54:07.000000 ')
(496, 'Changed Offset', '0xa0851bf0e080', '0xa0851a85f080')
(496, 'Changed PID', 4796, 1436)
(496, 'Changed CreateTime', '2024-06-11 16:47:38.000000 ', '2024-06-11 16:53:34.000000 ')
(660, 'Changed Offset', '0xa0851b7ac080', '0xa0851a261080')
(660, 'Changed PID', 6168, 5612)
(660, 'Changed CreateTime', '2024-06-11 16:45:22.000000 ', '2024-06-11 16:54:11.000000 ')
(736, 'Changed Offset', '0xa08516ebc080', '0xa08516d22080')
(736, 'Changed PID', 940, 824)
(736, 'Changed CreateTime', '2024-06-11 16:44:08.000000 ', '2024-06-11 16:53:48.000000 ')
(748, 'Changed ExitTime', '-', '2024-06-11 16:51:52.000000 ')
(928, 'Changed Offset', '0xa08516d83080', '0xa0851550d080')
(928, 'Changed PID', 824, 3056)
(928, 'Changed CreateTime', '2024-06-11 16:44:06.000000 ', '2024-06-11 16:51:40.000000 ')
(964, 'Changed StartAddress', '0xcb09616f8f40', '0xa08516d7e488')
(964, 'Changed ExitTime', '-', '2024-06-11 16:51:56.000000 ')
(972, 'Changed Offset', '0xa08516d3f040', '0xa0851aa2a040')
(972, 'Changed PID', 940, 1268)
(972, 'Changed CreateTime', '2024-06-11 16:44:07.000000 ', '2024-06-11 16:53:48.000000 ')
(1000, 'Changed Offset', '0xa08517e6a040', '0xa0851add6080')
(1000, 'Changed PID', 6504, 3028)
(1000, 'Changed CreateTime', '2024-06-11 16:49:33.000000 ', '2024-06-11 16:53:26.000000 ')
(1056, 'Changed Offset', '0xa0851558d080', '0xa0851ba29040')
(1056, 'Changed PID', 388, 6820)
(1056, 'Changed CreateTime', '2024-06-11 16:44:12.000000 ', '2024-06-11 16:51:51.000000 ')
(1152, 'Changed Offset', '0xa08516e1e080', '0xa0851abc8080')
(1152, 'Changed PID', 1032, 3200)
(1152, 'Changed CreateTime', '2024-06-11 16:45:19.000000 ', '2024-06-11 16:53:25.000000 ')
(1172, 'Changed Offset', '0xa08516f1e040', '0xa0851c1d1080')
(1172, 'Changed PID', 1036, 5900)
(1172, 'Changed CreateTime', '2024-06-11 16:44:08.000000 ', '2024-06-11 16:50:25.000000 ')
(1232, 'Changed Offset', '0xa08516ed0040', '0xa0851c21b080')
(1232, 'Changed PID', 388, 6576)
(1232, 'Changed CreateTime', '2024-06-11 16:44:08.000000 ', '2024-06-11 16:50:19.000000 ')
(1248, 'Changed StartAddress', '0x7ffc932a2690', '0xcb0963855120')
(1292, 'Changed StartAddress', '0xcb0961c4f200', '0xcb09647bb8e0')
(1324, 'Changed Offset', '0xa08516f8a080', '0xa0851a263080')
(1324, 'Changed PID', 940, 824)
(1324, 'Changed CreateTime', '2024-06-11 16:44:09.000000 ', '2024-06-11 16:53:48.000000 ')
(1384, 'Changed Offset', '0xa0851bf10040', '0xa0851b022040')
(1384, 'Changed PID', 7868, 2124)
(1384, 'Changed CreateTime', '2024-06-11 16:47:37.000000 ', '2024-06-11 16:51:47.000000 ')
(1388, 'Changed Offset', '0xa0851a240080', '0xa0851a256040')
(1388, 'Changed PID', 5676, 648)
(1388, 'Changed CreateTime', '2024-06-11 16:49:07.000000 ', '2024-06-11 16:54:03.000000 ')
(1388, 'Changed ExitTime', '2024-06-11 16:49:19.000000 ', '-')
(1392, 'Changed Offset', '0xa0851b0f1080', '0xa0851aed0080')
(1392, 'Changed PID', 5212, 3036)
(1392, 'Changed CreateTime', '2024-06-11 16:47:26.000000 ', '2024-06-11 16:52:07.000000 ')
(1396, 'Changed ExitTime', '-', '2024-06-11 16:51:57.000000 ')
(1408, 'Changed ExitTime', '-', '2024-06-11 16:51:57.000000 ')
(1500, 'Changed StartAddress', '0xcb096385ab80', '0xa0851bda14c8')
(1512, 'Changed Offset', '0xa08517e10080', '0xa0851a6bf080')
(1512, 'Changed PID', 1184, 1268)
(1512, 'Changed CreateTime', '2024-06-11 16:44:09.000000 ', '2024-06-11 16:53:48.000000 ')
(1524, 'Changed Offset', '0xa0851a729040', '0xa08516fa4080')
(1524, 'Changed PID', 2140, 5932)
(1524, 'Changed CreateTime', '2024-06-11 16:47:27.000000 ', '2024-06-11 16:54:01.000000 ')
(1620, 'Changed Offset', '0xa0851be8e040', '0xa0851b9d50c0')
(1620, 'Changed PID', 4796, 4376)
(1620, 'Changed StartAddress', '0xcb096642bb60', '0x7ffc932a2690')
(1620, 'Changed CreateTime', '2024-06-11 16:47:37.000000 ', '2024-06-11 16:49:27.000000 ')
(1660, 'Changed Offset', '0xa08517e18080', '0xa0851aeed080')
(1660, 'Changed PID', 5672, 4264)
(1660, 'Changed CreateTime', '2024-06-11 16:45:09.000000 ', '2024-06-11 16:54:09.000000 ')
(1672, 'Changed Offset', '0xa0851bd61080', '0xa0851aac8080')
(1672, 'Changed PID', 3888, 2712)
(1672, 'Changed CreateTime', '2024-06-11 16:45:11.000000 ', '2024-06-11 16:52:07.000000 ')
(1688, 'Changed Offset', '0xa0851a0dd040', '0xa0851b021040')
(1688, 'Changed PID', 5212, 3184)
(1688, 'Changed CreateTime', '2024-06-11 16:46:55.000000 ', '2024-06-11 16:52:07.000000 ')
(1792, 'Changed Offset', '0xa08516cc9080', '0xa0851b0f2080')
(1792, 'Changed PID', 1436, 5676)
(1792, 'Changed CreateTime', '2024-06-11 16:47:58.000000 ', '2024-06-11 16:50:42.000000 ')
(1792, 'Changed ExitTime', '-', '2024-06-11 16:50:48.000000 ')
(1828, 'Changed Offset', '0xa0851a02e040', '0xa0851a728040')
(1828, 'Changed PID', 1576, 1436)
(1828, 'Changed CreateTime', '2024-06-11 16:44:11.000000 ', '2024-06-11 16:53:34.000000 ')
(1860, 'Changed Offset', '0xa08517e05080', '0xa0851a687040')
(1860, 'Changed PID', 6576, 4264)
(1860, 'Changed CreateTime', '2024-06-11 16:49:31.000000 ', '2024-06-11 16:52:26.000000 ')
(1936, 'Changed Offset', '0xa0851a0de040', '0xa0851b510080')
(1936, 'Changed PID', 1796, 3956)
(1936, 'Changed CreateTime', '2024-06-11 16:44:12.000000 ', '2024-06-11 16:52:20.000000 ')
(1984, 'Changed Offset', '0xa0851b9df040', '0xa0851adef040')
(1984, 'Changed PID', 4364, 3044)
(1984, 'Changed CreateTime', '2024-06-11 16:46:53.000000 ', '2024-06-11 16:52:48.000000 ')
(1992, 'Changed Offset', '0xa0851aea3080', '0xa0851ba1e080')
(1992, 'Changed PID', 7868, 4256)
(1992, 'Changed CreateTime', '2024-06-11 16:47:38.000000 ', '2024-06-11 16:50:07.000000 ')
(2040, 'Changed Offset', '0xa0851a5f0080', '0xa085162d7080')
(2040, 'Changed PID', 4448, 5676)
(2040, 'Changed CreateTime', '2024-06-11 16:46:53.000000 ', '2024-06-11 16:53:53.000000 ')
(2040, 'Changed ExitTime', '-', '2024-06-11 16:53:58.000000 ')
(2044, 'Changed Offset', '0xa08515588080', '0xa0851b9e3080')
(2044, 'Changed PID', 1996, 7372)
(2044, 'Changed StartAddress', '0xcb0961c4c0e0', '0x7ffc932a2690')
(2044, 'Changed CreateTime', '2024-06-11 16:44:12.000000 ', '2024-06-11 16:52:01.000000 ')
(2092, 'Changed Offset', '0xa0851a163080', '0xa08516d7f080')
(2092, 'Changed PID', 3888, 6504)
(2092, 'Changed CreateTime', '2024-06-11 16:49:26.000000 ', '2024-06-11 16:53:58.000000 ')
(2108, 'Changed Offset', '0xa08516e63080', '0xa08517eb1040')
(2108, 'Changed PID', 2484, 548)
(2108, 'Changed CreateTime', '2024-06-11 16:49:27.000000 ', '2024-06-11 16:54:02.000000 ')
(2228, 'Changed Offset', '0xa08516e14080', '0xa0851bcc8080')
(2228, 'Changed PID', 3732, 3888)
(2228, 'Changed CreateTime', '2024-06-11 16:49:12.000000 ', '2024-06-11 16:51:23.000000 ')
(2272, 'Changed Offset', '0xa08517e5f080', '0xa0851adda040')
(2272, 'Changed PID', 4, 2440)
(2272, 'Changed StartAddress', '0xf800756b80c0', '0x7ffc932a2690')
(2272, 'Changed CreateTime', '2024-06-11 16:47:01.000000 ', '2024-06-11 16:54:13.000000 ')
(2340, 'Changed Offset', '0xa08516f27080', '0xa0851b6a1040')
(2340, 'Changed PID', 1048, 2280)
(2340, 'Changed CreateTime', '2024-06-11 16:49:35.000000 ', '2024-06-11 16:52:07.000000 ')
(2344, 'Changed Offset', '0xa0851559e080', '0xa0851a0d1080')
(2344, 'Changed PID', 1048, 2388)
(2344, 'Changed CreateTime', '2024-06-11 16:49:35.000000 ', '2024-06-11 16:52:07.000000 ')
(2348, 'Changed Offset', '0xa0851b4c4080', '0xa0851a3bb080')
(2348, 'Changed PID', 1348, 6048)
(2348, 'Changed CreateTime', '2024-06-11 16:47:37.000000 ', '2024-06-11 16:54:00.000000 ')
